model,avg_score,consistency,versatility,source_consistency,coverage,data_points,max_score,min_score
nvidia_deepseek_ai_deepseek_r1_0528,56.98019007840059,68.88497634798699,78.34012794680427,94.3153567255778,46,690,99.75752234458925,-6.74439668655395
nvidia_ai21labs_jamba_1_5_large_instruct,57.01373549041581,68.88476239746022,78.35813588269664,94.27003648110376,46,690,99.75752234458925,-6.74439668655395
nvidia_meta_llama_3_3_70b_instruct,56.923201507399455,68.8437295243939,78.26704143180439,94.3298260412345,46,690,99.75752234458925,-6.74439668655395
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,56.98019007840059,68.88497634798699,78.34012794680427,94.3153567255778,46,690,99.75752234458925,-6.74439668655395
nvidia_qwen_qwq_32b,56.98019010269596,68.8849764356645,78.34012797486159,94.31535670984997,46,690,99.75752234458925,-6.74439668655395
nvidia_google_gemma_2_27b_it,56.98019007840059,68.88497634798699,78.34012794680427,94.3153567255778,46,690,99.75752234458925,-6.74439668655395
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,56.98019010269596,68.8849764356645,78.34012797486159,94.31535670984997,46,690,99.75752234458925,-6.74439668655395
nvidia_deepseek_ai_deepseek_v3_1,56.98019007840059,68.88497634798699,78.34012794680427,94.3153567255778,46,690,99.75752234458925,-6.74439668655395
nvidia_openai_gpt_oss_120b,56.97988216264133,68.88536433775916,78.3406019057283,94.3148590266923,46,690,99.75752234458925,-6.74439668655395
nvidia_moonshotai_kimi_k2_instruct,56.98019007840059,68.88497634798699,78.34012794680427,94.3153567255778,46,690,99.75752234458925,-6.74439668655395
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,56.98019010269596,68.8849764356645,78.34012797486159,94.31535670984997,46,690,99.75752234458925,-6.74439668655395
nvidia_writer_palmyra_creative_122b,56.98019010269596,68.8849764356645,78.34012797486159,94.31535670984997,46,690,99.75752234458925,-6.74439668655395
nvidia_qwen_qwen3_coder_480b_a35b_instruct,56.98019010269596,68.8849764356645,78.34012797486159,94.31535670984997,46,690,99.75752234458925,-6.74439668655395
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,56.98019007840059,68.88497634798699,78.34012794680427,94.3153567255778,46,690,99.75752234458925,-6.74439668655395
